enrollment_id,roll_no,course_code,semester,enrollment_date,status,assignment,quiz,mid,project,final,total,grade
E0113,BSAI-23-028,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0114,BSAI-23-028,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0115,BSAI-23-028,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0116,BSAI-23-029,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0117,BSAI-23-029,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0118,BSAI-23-029,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0119,BSAI-23-029,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0120,BSAI-23-029,CS121,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0121,BSAI-23-030,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0122,BSAI-23-030,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0123,BSAI-23-030,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0124,BSAI-23-030,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
